Ligand_SMILES,Target_UniProt,Target_Name,Species,Activity_nM
CC(C)(C)N(NC(=O)c1ccccc1F)C(=O)c1ccccc1Cl,P,Ecdysone receptor,Drosophila melanogaster,33884.42
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1Cl,P,Ecdysone receptor,Drosophila melanogaster,8511.38
C/N=C(\NCc1cnc(Cl)c(N=[N+]=[N-])c1)N[N+](=O)[O-],P,Nicotinic acetylcholine receptor,Drosophila melanogaster,13.0
[N-]=[N+]=Nc1cc(CN2CCN/C2=N\[N+](=O)[O-])cnc1Cl,P,Nicotinic acetylcholine receptor,Drosophila melanogaster,15.0
O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,E,Nicotinic acetylcholine receptor,Drosophila melanogaster,2.1
C/N=C(\NCc1cnc(Cl)c(N=[N+]=[N-])c1)N[N+](=O)[O-],E,Nicotinic acetylcholine receptor,Drosophila melanogaster,13.0
C/N=C(\NCc1ccc(Cl)nc1)N[N+](=O)[O-],E,Nicotinic acetylcholine receptor,Drosophila melanogaster,10.0
[N-]=[N+]=Nc1cc(CN2CCN/C2=N\[N+](=O)[O-])cnc1Cl,E,Nicotinic acetylcholine receptor,Drosophila melanogaster,15.0
O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,Q,Nicotinic acetylcholine receptor,Drosophila melanogaster,2.1
C/N=C(\NCc1cnc(Cl)c(N=[N+]=[N-])c1)N[N+](=O)[O-],Q,Nicotinic acetylcholine receptor,Drosophila melanogaster,13.0
C/N=C(\NCc1ccc(Cl)nc1)N[N+](=O)[O-],Q,Nicotinic acetylcholine receptor,Drosophila melanogaster,10.0
[N-]=[N+]=Nc1cc(CN2CCN/C2=N\[N+](=O)[O-])cnc1Cl,Q,Nicotinic acetylcholine receptor,Drosophila melanogaster,15.0
O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,M,Nicotinic acetylcholine receptor,Drosophila melanogaster,2.1
C/N=C(\NCc1cnc(Cl)c(N=[N+]=[N-])c1)N[N+](=O)[O-],M,Nicotinic acetylcholine receptor,Drosophila melanogaster,13.0
C/N=C(\NCc1ccc(Cl)nc1)N[N+](=O)[O-],M,Nicotinic acetylcholine receptor,Drosophila melanogaster,10.0
[N-]=[N+]=Nc1cc(CN2CCN/C2=N\[N+](=O)[O-])cnc1Cl,M,Nicotinic acetylcholine receptor,Drosophila melanogaster,15.0
O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,A,Nicotinic acetylcholine receptor,Drosophila melanogaster,2.1
C/N=C(\NCc1cnc(Cl)c(N=[N+]=[N-])c1)N[N+](=O)[O-],A,Nicotinic acetylcholine receptor,Drosophila melanogaster,13.0
C/N=C(\NCc1ccc(Cl)nc1)N[N+](=O)[O-],A,Nicotinic acetylcholine receptor,Drosophila melanogaster,10.0
[N-]=[N+]=Nc1cc(CN2CCN/C2=N\[N+](=O)[O-])cnc1Cl,A,Nicotinic acetylcholine receptor,Drosophila melanogaster,15.0
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CCCNC(=N)N)C(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)C(C)C,O,G-protein coupled receptor Mth,Drosophila melanogaster,45.0
CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](C)N)C(C)C)[C@@H](C)CC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)O,O,G-protein coupled receptor Mth,Drosophila melanogaster,115.0
Cc1noc(C)c1CN1CC(Cc2ccccc2)NC(=O)c2nn(CCC3CCN(C(=O)OC(C)(C)C)CC3)cc21,P,RYamide receptor,Drosophila melanogaster,5900.0
CC(C)CN1C[C@H](CCCCN)NC(=S)c2nn(CC(C)C)cc21,P,RYamide receptor,Drosophila melanogaster,6800.0
CC(C)CN1C[C@H](CCCCN)N=C(SCCC(N)=O)c2nn(CC(C)C)cc21,P,RYamide receptor,Drosophila melanogaster,6100.0
CC(C)CN1C[C@@H](CCCCN)N=C(SCCC(=O)NN)c2nn(CC(C)C)cc21,P,RYamide receptor,Drosophila melanogaster,20900.0
C[C@@H]1CNCCN1c1nc(Nc2cc(C(C)(C)C)[nH]n2)c2cccc(F)c2n1,Q,Spastin,Drosophila melanogaster,4840.0
CNC(=O)Oc1ccccc1OC(C)C,Q,Acetylcholinesterase,Anopheles gambiae,43.6
COP(=O)(OC)OC=C(Cl)Cl,Q,Acetylcholinesterase,Anopheles gambiae,60.1
C[Si](C)(C)c1cccc(C(=O)C(F)(F)F)c1,Q,Acetylcholinesterase,Anopheles gambiae,257.0
CC(C)(C)c1cccc(C(=O)C(F)(F)F)c1,Q,Acetylcholinesterase,Anopheles gambiae,18.1
CC(C)n1cc(C(=O)C(F)(F)F)cn1,Q,Acetylcholinesterase,Anopheles gambiae,285.0
CCC(C)n1cc(C(=O)C(F)(F)F)cn1,Q,Acetylcholinesterase,Anopheles gambiae,2.29
CCCC(C)n1cc(C(=O)C(F)(F)F)cn1,Q,Acetylcholinesterase,Anopheles gambiae,2.06
CCC(CC)n1cc(C(=O)C(F)(F)F)cn1,Q,Acetylcholinesterase,Anopheles gambiae,0.68
O=C(c1cnn(C2CCCC2)c1)C(F)(F)F,Q,Acetylcholinesterase,Anopheles gambiae,1.54
CC(C)Cn1cc(C(=O)C(F)(F)F)cn1,Q,Acetylcholinesterase,Anopheles gambiae,1040.0
CC(C)(C)c1cccc(C(=O)C(F)F)c1,Q,Acetylcholinesterase,Anopheles gambiae,9.79
CC(C)n1cc(C(=O)C(F)F)cn1,Q,Acetylcholinesterase,Anopheles gambiae,430.0
CCC(C)n1cc(C(=O)C(F)F)cn1,Q,Acetylcholinesterase,Anopheles gambiae,25.2
CCCC(C)n1cc(C(=O)C(F)F)cn1,Q,Acetylcholinesterase,Anopheles gambiae,29.1
CCC(CC)n1cc(C(=O)C(F)F)cn1,Q,Acetylcholinesterase,Anopheles gambiae,1.22
O=C(c1cnn(C2CCCC2)c1)C(F)F,Q,Acetylcholinesterase,Anopheles gambiae,134.0
CC(C)Cn1cc(C(=O)C(F)F)cn1,Q,Acetylcholinesterase,Anopheles gambiae,3950.0
CC(C)(C)c1cccc(C(=O)CF)c1,Q,Acetylcholinesterase,Anopheles gambiae,953.0
CCC(C)n1cc(C(=O)CF)cn1,Q,Acetylcholinesterase,Anopheles gambiae,2860.0
CCCC(C)n1cc(C(=O)CF)cn1,Q,Acetylcholinesterase,Anopheles gambiae,3290.0
CCC(CC)n1cc(C(=O)CF)cn1,Q,Acetylcholinesterase,Anopheles gambiae,337.0
O=C(CF)c1cnn(C2CCCC2)c1,Q,Acetylcholinesterase,Anopheles gambiae,1540.0
CCN1CCN(C2CCN(C(=O)COc3ccc(-c4ccccc4)cc3)CC2)CC1,Q,Acetylcholinesterase,Anopheles gambiae,1300.0
O=C(COc1ccc(Cl)cc1Cl)Nc1ccc(CN2CCCCC2)cc1,Q,Acetylcholinesterase,Anopheles gambiae,1200.0
c1ccc(COc2ccc(CN3CCc4ccccc4C3)cc2)cc1,Q,Acetylcholinesterase,Anopheles gambiae,2900.0
CCSc1nc2sc3c(c2c(=O)n1-c1ccccc1)CCN(Cc1ccccc1)C3,Q,Acetylcholinesterase,Anopheles gambiae,8300.0
O=C(c1ccccc1F)N1CCN(C2CCN(Cc3ccccc3)CC2)CC1,Q,Acetylcholinesterase,Anopheles gambiae,17000.0
O=C(COc1ccccc1)N1CCN(C2CCN(Cc3ccccc3)CC2)CC1,Q,Acetylcholinesterase,Anopheles gambiae,21000.0
COc1ccc(NC(S)=NCCN2CCC(C)CC2)cc1Cl,Q,Acetylcholinesterase,Anopheles gambiae,960.0
COc1ccc(NC(=S)NCCN2CCCCC2)cc1,Q,Acetylcholinesterase,Anopheles gambiae,29000.0
COc1ccc(NC(=S)NCCN2CCOCC2)cc1Cl,Q,Acetylcholinesterase,Anopheles gambiae,120.0
COc1ccc(NC(S)=NCCN2CCOCC2)cc1,Q,Acetylcholinesterase,Anopheles gambiae,11000.0
COc1ccc(NC(=S)NCCN(C)C)cc1Cl,Q,Acetylcholinesterase,Anopheles gambiae,18000.0
NS(=O)(=O)c1ccc(NC(=S)NCCN2CCCCC2)cc1,Q,Acetylcholinesterase,Anopheles gambiae,7800.0
COc1ccccc1NC(=S)NCCN(C)C,Q,Acetylcholinesterase,Anopheles gambiae,7100.0
CN(C)CCNC(=S)Nc1ccccc1Cl.O=S(=O)(O)O,Q,Acetylcholinesterase,Anopheles gambiae,17000.0
COc1ccccc1NC(=S)NCCN1CCCCC1.Cl,Q,Acetylcholinesterase,Anopheles gambiae,29000.0
CN1CCN(C2CCN(C(=O)COc3ccc(-c4ccccc4)cc3)CC2)CC1,Q,Acetylcholinesterase,Anopheles gambiae,240.0
O=C(COc1ccc(-c2ccccc2)cc1)N1CCC(N2CCCCC2)CC1,Q,Acetylcholinesterase,Anopheles gambiae,3800.0
CCN1CCN(CCCNC(=O)COc2ccc(-c3ccccc3)cc2)CC1,Q,Acetylcholinesterase,Anopheles gambiae,3500.0
CN1CCN(CCCNC(=O)COc2ccc(-c3ccccc3)cc2)CC1,Q,Acetylcholinesterase,Anopheles gambiae,13000.0
O=C(COc1ccc(-c2ccccc2)cc1)NCCCN1CCCCC1,Q,Acetylcholinesterase,Anopheles gambiae,10000.0
CCN1CCN(C2CCN(C(=O)COc3ccc(I)cc3)CC2)CC1,Q,Acetylcholinesterase,Anopheles gambiae,3600.0
CCN1CCN(CCCNC(=O)COc2ccc(I)cc2)CC1,Q,Acetylcholinesterase,Anopheles gambiae,43000.0
O=C(COc1ccc(I)cc1)NCCCN1CCCCC1,Q,Acetylcholinesterase,Anopheles gambiae,44000.0
CCN1CCN(C2CCN(C(=O)COc3ccc(-c4ccc(OC)cc4)cc3)CC2)CC1,Q,Acetylcholinesterase,Anopheles gambiae,400.0
CCN1CCN(CCCNC(=O)COc2ccc(-c3ccc(OC)cc3)cc2)CC1,Q,Acetylcholinesterase,Anopheles gambiae,5800.0
COc1ccc(-c2ccc(OCC(=O)NCCCN3CCN(C)CC3)cc2)cc1,Q,Acetylcholinesterase,Anopheles gambiae,25000.0
COc1ccc(-c2ccc(OCC(=O)NCCCN3CCCCC3)cc2)cc1,Q,Acetylcholinesterase,Anopheles gambiae,4500.0
CCN1CCN(C2CCN(C(=O)COc3ccc(-c4ccccc4F)cc3)CC2)CC1,Q,Acetylcholinesterase,Anopheles gambiae,240.0
CCN1CCN(C2CCN(C(=O)COc3ccc4c(c3)CCC4=O)CC2)CC1,Q,Acetylcholinesterase,Anopheles gambiae,290.0
CCN1CCN(C2CCN(C(=O)COc3ccc(-c4ccc([N+](=O)[O-])cc4)cc3)CC2)CC1,Q,Acetylcholinesterase,Anopheles gambiae,80.0
CN(C)CCCN1C(=O)CSC1c1ccc(Cl)cc1.Cl,Q,Acetylcholinesterase,Anopheles gambiae,860.0
CN(C)CCCN1C(=O)CSC1c1cccc(Cl)c1.Cl,Q,Acetylcholinesterase,Anopheles gambiae,16000.0
CN(C)CCCN1C(=O)CSC1c1ccccc1Cl.Cl,Q,Acetylcholinesterase,Anopheles gambiae,8100.0
COc1ccccc1C1SCC(=O)N1CCCN(C)C.Cl,Q,Acetylcholinesterase,Anopheles gambiae,2500.0
CN(C)CCCN1C(=O)CSC1c1ccc(F)cc1.Cl,Q,Acetylcholinesterase,Anopheles gambiae,820.0
CN(C)CCCN1C(=O)CSC1c1cccc(F)c1.Cl,Q,Acetylcholinesterase,Anopheles gambiae,14000.0
CN(C)CCCN1C(=O)CSC1c1ccccc1F.Cl,Q,Acetylcholinesterase,Anopheles gambiae,23000.0
CN(C)CCCN1C(=O)CSC1c1cccnc1.Cl,Q,Acetylcholinesterase,Anopheles gambiae,45000.0
CN(C)CCCN1C(=O)CSC1c1ccc(Cl)cc1Cl.Cl,Q,Acetylcholinesterase,Anopheles gambiae,1000.0
CN(C)CCCN1C(=O)CSC1c1ccc(F)cc1F.Cl,Q,Acetylcholinesterase,Anopheles gambiae,4400.0
CN(C)CCCN1C(=O)CSC1c1ccc(F)cc1Cl.Cl,Q,Acetylcholinesterase,Anopheles gambiae,3000.0
CN(C)CCCN1C(=O)CSC1c1cccc(F)c1F.Cl,Q,Acetylcholinesterase,Anopheles gambiae,37000.0
CN(C)CCCN1C(=O)CSC1c1cccc(Cl)c1Cl.Cl,Q,Acetylcholinesterase,Anopheles gambiae,3600.0
CN(C)CCCN1C(=O)CSC1c1cccc2ccccc12.Cl,Q,Acetylcholinesterase,Anopheles gambiae,650.0
CC(C)NCCN1C(=O)CSC1c1ccc(Cl)cc1Cl.Cl,Q,Acetylcholinesterase,Anopheles gambiae,4200.0
Cl.O=C1CSC(c2ccc(Cl)cc2Cl)N1CCNC1CC1,Q,Acetylcholinesterase,Anopheles gambiae,2300.0
CNCCCN1C(=O)CSC1c1ccc(Cl)cc1Cl.Cl,Q,Acetylcholinesterase,Anopheles gambiae,19000.0
CNCCN1C(=O)CSC1c1ccc(Cl)cc1Cl.Cl,Q,Acetylcholinesterase,Anopheles gambiae,25000.0
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,Q,AGAP002992-PA,Anopheles gambiae,31.5
O=C1NS(=O)(=O)c2ccccc21,Q,AGAP002992-PA,Anopheles gambiae,95.3
NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1,Q,AGAP002992-PA,Anopheles gambiae,265.0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,Q,AGAP002992-PA,Anopheles gambiae,173.0
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,Q,AGAP002992-PA,Anopheles gambiae,164.0
NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,Q,AGAP002992-PA,Anopheles gambiae,226.0
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,Q,AGAP002992-PA,Anopheles gambiae,29.5
NS(=O)(=O)Cc1noc2ccccc12,Q,AGAP002992-PA,Anopheles gambiae,263.0
NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccccc2)s1,Q,AGAP002992-PA,Anopheles gambiae,9.8
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,Q,AGAP002992-PA,Anopheles gambiae,31.4
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,Q,AGAP002992-PA,Anopheles gambiae,275.0
NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,Q,AGAP002992-PA,Anopheles gambiae,630.0
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,Q,AGAP002992-PA,Anopheles gambiae,185.0
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,Q,AGAP002992-PA,Anopheles gambiae,184.0
Nc1ccc(S(=O)(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1,Q,AGAP002992-PA,Anopheles gambiae,47.0
Nc1ccc(S(=O)(=O)NCc2ccc(S(N)(=O)=O)cc2)cc1,Q,AGAP002992-PA,Anopheles gambiae,81.9
Nc1ccc(S(=O)(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1,Q,AGAP002992-PA,Anopheles gambiae,83.4
NS(=O)(=O)c1ccc(CCNS(=O)(=O)c2ccc([N+](=O)[O-])cc2CO)cc1,Q,AGAP002992-PA,Anopheles gambiae,6.1
Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,Q,AGAP002992-PA,Anopheles gambiae,6.8
Nc1nccc(Nc2ccc(S(N)(=O)=O)cc2)n1,Q,AGAP002992-PA,Anopheles gambiae,10600.0
NS(=O)(=O)c1ccc(C(=O)O)cc1,Q,AGAP002992-PA,Anopheles gambiae,703.0
Cn1nc(S(N)(=O)=O)sc1=N,Q,AGAP002992-PA,Anopheles gambiae,1685.0
Nc1nnc(S(N)(=O)=O)s1,Q,AGAP002992-PA,Anopheles gambiae,737.0
Nc1cc(Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,Q,AGAP002992-PA,Anopheles gambiae,756.0
Nc1cc(C(F)(F)F)c(S(N)(=O)=O)cc1S(N)(=O)=O,Q,AGAP002992-PA,Anopheles gambiae,4360.0
NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,Q,AGAP002992-PA,Anopheles gambiae,6480.0
Nc1ccc(S(N)(=O)=O)cc1Br,Q,AGAP002992-PA,Anopheles gambiae,855.0
Nc1ccc(S(N)(=O)=O)cc1Cl,Q,AGAP002992-PA,Anopheles gambiae,12430.0
Nc1ccc(S(N)(=O)=O)cc1F,Q,AGAP002992-PA,Anopheles gambiae,902.0
NCCc1ccc(S(N)(=O)=O)cc1,Q,AGAP002992-PA,Anopheles gambiae,835.0
NCc1ccc(S(N)(=O)=O)cc1,Q,AGAP002992-PA,Anopheles gambiae,13600.0
Cc1ccc(S(N)(=O)=O)cc1,Q,AGAP002992-PA,Anopheles gambiae,12400.0
NS(=O)(=O)c1cccc(S(N)(=O)=O)c1,Q,AGAP002992-PA,Anopheles gambiae,843.0
Nc1ccc(S(N)(=O)=O)cc1,Q,AGAP002992-PA,Anopheles gambiae,862.0
Nc1cccc(S(N)(=O)=O)c1,Q,AGAP002992-PA,Anopheles gambiae,887.0
Cc1ccc(N[C@H]2C[C@@H](C)N(C(=O)c3cccc(C)c3)c3ccc(C)cc32)cc1,P,Ecdysone receptor,Aedes aegypti,33300.0
Cc1ccccc1C(=O)N1c2ccc(F)cc2[C@@H](Nc2ccc(F)cc2)C[C@H]1C,P,Ecdysone receptor,Aedes aegypti,3190.0
C[C@@H]1C[C@H](Nc2ccc(F)cc2)c2cc(F)ccc2N1C(=O)c1cccc(F)c1,P,Ecdysone receptor,Aedes aegypti,990.0
C[C@@H]1C[C@H](Nc2ccccc2)c2ccccc2N1C(=O)c1cccc(F)c1,P,Ecdysone receptor,Aedes aegypti,750.0
COc1ccc(C(=O)N2c3ccccc3[C@@H](Nc3ccccc3)C[C@H]2C)cc1,P,Ecdysone receptor,Aedes aegypti,1430.0
C[C@@H]1C[C@H](Nc2ccc(F)cc2)c2cc(F)ccc2N1C(=O)c1ccccc1C(F)(F)F,P,Ecdysone receptor,Aedes aegypti,10990.0
COc1ccc(C(=O)N2c3ccc(F)cc3[C@@H](Nc3ccc(F)cc3)C[C@H]2C)cc1,P,Ecdysone receptor,Aedes aegypti,1140.0
C[C@@H]1C[C@H](Nc2ccc(F)cc2)c2cc(F)ccc2N1C(=O)c1ccc(C(F)(F)F)cc1,P,Ecdysone receptor,Aedes aegypti,920.0
Cc1ccc(N[C@H]2C[C@@H](C)N(C(=O)c3ccccc3F)c3ccc(C)cc32)cc1,P,Ecdysone receptor,Aedes aegypti,33300.0
Cc1ccc(N[C@H]2C[C@@H](C)N(C(=O)c3ccc(C)cc3)c3ccc(C)cc32)cc1,P,Ecdysone receptor,Aedes aegypti,5000.0
C[C@@H]1C[C@H](Nc2ccccc2)c2ccccc2N1C(=O)c1ccc(C(F)(F)F)cc1,P,Ecdysone receptor,Aedes aegypti,1180.0
C[C@@H]1C[C@H](Nc2ccc(F)cc2)c2cc(F)ccc2N1C(=O)c1ccccc1F,P,Ecdysone receptor,Aedes aegypti,3000.0
Cc1ccc(C(=O)N2c3ccc(F)cc3[C@@H](Nc3ccc(F)cc3)C[C@H]2C)cc1,P,Ecdysone receptor,Aedes aegypti,870.0
COc1ccccc1C(=O)N1c2ccc(F)cc2[C@@H](Nc2ccc(F)cc2)C[C@H]1C,P,Ecdysone receptor,Aedes aegypti,33300.0
C[C@@H]1C[C@H](Nc2ccc(F)cc2)c2cc(F)ccc2N1C(=O)c1cccc(C(F)(F)F)c1,P,Ecdysone receptor,Aedes aegypti,1000.0
Cc1cccc(C(=O)N2c3ccc(F)cc3[C@@H](Nc3ccc(F)cc3)C[C@H]2C)c1,P,Ecdysone receptor,Aedes aegypti,1360.0
Cc1ccc(N[C@H]2C[C@@H](C)N(C(=O)c3cccc(F)c3)c3ccc(C)cc32)cc1,P,Ecdysone receptor,Aedes aegypti,3000.0
COc1cccc(C(=O)N2c3ccc(C)cc3[C@@H](Nc3ccc(C)cc3)C[C@H]2C)c1,P,Ecdysone receptor,Aedes aegypti,33300.0
Cc1ccc(C(=O)N2c3ccccc3[C@@H](Nc3ccccc3)C[C@H]2C)cc1,P,Ecdysone receptor,Aedes aegypti,990.0
C[C@@H]1C[C@H](Nc2ccccc2)c2ccccc2N1C(=O)c1ccccc1,P,Ecdysone receptor,Aedes aegypti,1120.0
C[C@@H]1C[C@H](Nc2ccc(F)cc2)c2cc(F)ccc2N1C(=O)c1ccccc1,P,Ecdysone receptor,Aedes aegypti,1730.0
C[C@@H]1C[C@H](Nc2ccc(F)cc2)c2cc(F)ccc2N1C(=O)c1ccc(Cl)cc1,P,Ecdysone receptor,Aedes aegypti,640.0
Cc1ccc(N[C@H]2C[C@@H](C)N(C(=O)c3cccc(C(F)(F)F)c3)c3ccc(C)cc32)cc1,P,Ecdysone receptor,Aedes aegypti,1840.0
COc1cccc(C(=O)N2c3ccc(F)cc3[C@@H](Nc3ccc(F)cc3)C[C@H]2C)c1,P,Ecdysone receptor,Aedes aegypti,1480.0
Cc1ccc(N[C@H]2C[C@@H](C)N(C(=O)c3ccc(Cl)cc3)c3ccc(C)cc32)cc1,P,Ecdysone receptor,Aedes aegypti,2150.0
COc1ccc(C(=O)N2c3ccc(C)cc3[C@@H](Nc3ccc(C)cc3)C[C@H]2C)cc1,P,Ecdysone receptor,Aedes aegypti,5320.0
C[C@@H]1C[C@H](Nc2ccccc2)c2ccccc2N1C(=O)c1cccc(C(F)(F)F)c1,P,Ecdysone receptor,Aedes aegypti,1210.0
Cc1ccc(N[C@H]2C[C@@H](C)N(C(=O)c3ccccc3C(F)(F)F)c3ccc(C)cc32)cc1,P,Ecdysone receptor,Aedes aegypti,33300.0
Cc1ccc(N[C@H]2C[C@@H](C)N(C(=O)c3ccc(C(F)(F)F)cc3)c3ccc(C)cc32)cc1,P,Ecdysone receptor,Aedes aegypti,4410.0
C[C@@H]1C[C@H](Nc2ccccc2)c2ccccc2N1C(=O)c1ccc(Cl)cc1,P,Ecdysone receptor,Aedes aegypti,980.0
Cc1ccc(N[C@H]2C[C@@H](C)N(C(=O)c3ccccc3)c3ccc(C)cc32)cc1,P,Ecdysone receptor,Aedes aegypti,5400.0
CCc1c(OC)cccc1C(=O)NN(C(=O)c1cc(C)cc(C)c1)C(C)(C)C,P,Ecdysone receptor,Aedes aegypti,440.0
COc1cccc(C(=O)N2c3ccccc3[C@@H](Nc3ccccc3)C[C@H]2C)c1,P,Ecdysone receptor,Aedes aegypti,700.0
Cc1ccc(N[C@H]2C[C@@H](C)N(C(=O)c3ccccc3C)c3ccc(C)cc32)cc1,P,Ecdysone receptor,Aedes aegypti,8710.0
CC1CC(Nc2ccc(F)cc2)c2cc(F)ccc2N1C(=O)c1ccc(Cl)cc1,P,Ecdysone receptor,Aedes aegypti,645.65
Cc1ccc(NC2CC(C)N(C(=O)c3ccc(C)cc3)c3ccc(C)cc32)cc1,P,Ecdysone receptor,Aedes aegypti,5011.87
Cc1ccc(NC2CC(C)N(C(=O)c3ccc(Cl)cc3)c3ccc(C)cc32)cc1,P,Ecdysone receptor,Aedes aegypti,2137.96
CC1CC(Nc2ccc(F)cc2)c2cc(F)ccc2N1C(=O)c1ccc(Cl)cc1,Q,Ecdysone receptor,Aedes aegypti,645.65
Cc1ccc(NC2CC(C)N(C(=O)c3ccc(C)cc3)c3ccc(C)cc32)cc1,Q,Ecdysone receptor,Aedes aegypti,5011.87
Cc1ccc(NC2CC(C)N(C(=O)c3ccc(Cl)cc3)c3ccc(C)cc32)cc1,Q,Ecdysone receptor,Aedes aegypti,2137.96
CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1,Q,Ecdysone receptor,Aedes aegypti,25.12
NC(=S)N/N=C/c1ccc(O)cc1,Q,Sterol carrier protein 2,Aedes aegypti,5000.0
COc1ccc(OC/C=N/NC(N)=S)cc1,Q,Sterol carrier protein 2,Aedes aegypti,600.0
COc1cccc(C(=O)NC2(C(=O)c3cc(C)cc(C)c3)CCC2)c1C,P,Ecdysone receptor,Bombyx mori,8520.0
COc1ccccc1C(=O)C1(NC(=O)c2cccc(OC)c2C)CCCCCC1,P,Ecdysone receptor,Bombyx mori,1940.0
CCc1c(OC)cccc1C(=O)NC1(C(=O)c2cc(C)cc(C)c2)CCCCC1,P,Ecdysone receptor,Bombyx mori,1810.0
COc1cccc(C(=O)NC2(C(=O)c3cc(C)cc(C)c3)CCCCC2)c1C,P,Ecdysone receptor,Bombyx mori,1410.0
COc1cccc(C(=O)NC2(C(=O)c3cc(C)cc(C)c3)CCCC2)c1C,P,Ecdysone receptor,Bombyx mori,1870.0
COc1cccc(C(=O)NC2(C(=O)c3cc(C)cc(C)c3)CCOCC2)c1C,P,Ecdysone receptor,Bombyx mori,10000.0
CCc1ccc(C(=O)NC2(C(=O)c3cc(C)cc(C)c3)CCCCC2)cc1,P,Ecdysone receptor,Bombyx mori,1510.0
COc1cccc(C(=O)NC2(C(=O)c3cc(C)cc(C)c3)CCCCCC2)c1C,P,Ecdysone receptor,Bombyx mori,1610.0
COc1ccccc1C(=O)C1(NC(=O)c2cccc(OC)c2C)CCCCC1,P,Ecdysone receptor,Bombyx mori,980.0
CCC(CC)(NC(=O)c1cccc(OC)c1C)C(=O)c1cc(C)cc(C)c1,P,Ecdysone receptor,Bombyx mori,4530.0
COc1cccc(C(=O)NC2(C(=O)c3cc(C)cc(C)c3)CCS(=O)(=O)CC2)c1C,P,Ecdysone receptor,Bombyx mori,15000.0
CCc1c(C(=O)NC2(C(=O)c3cc(C)cc(C)c3)CCCCC2)ccc2c1OCCO2,P,Ecdysone receptor,Bombyx mori,740.0
